Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2025-02-01,2024-2025,Alabama State,REG (Conf),W,67.0,64.0,0.472,12.0,33.0,0.486,0.456,10.0,28.0,0.571,bethune-cookman.csv
2025-02-03,2024-2025,Alabama A&M,REG (Conf),W,89.0,75.0,0.54,13.0,26.0,0.846,0.5,10.0,15.0,0.909,bethune-cookman.csv
2025-02-08,2024-2025,Prairie View A&M,REG (Conf),W,85.0,82.0,0.625,13.0,27.0,0.517,0.558,9.0,20.0,0.789,bethune-cookman.csv
2025-02-10,2024-2025,Texas Southern,REG (Conf),W,80.0,77.0,0.609,14.0,22.0,0.722,0.486,9.0,18.0,0.692,bethune-cookman.csv
2025-02-15,2024-2025,Alcorn State,REG (Conf),L,74.0,78.0,0.585,16.0,24.0,0.792,0.484,6.0,20.0,0.783,bethune-cookman.csv
2025-02-17,2024-2025,Jackson State,REG (Conf),L,71.0,84.0,0.536,14.0,16.0,0.846,0.56,11.0,23.0,0.704,bethune-cookman.csv
2025-02-22,2024-2025,Alabama A&M,REG (Conf),W,68.0,64.0,0.51,20.0,27.0,0.652,0.397,12.0,18.0,0.714,bethune-cookman.csv
2025-02-24,2024-2025,Alabama State,REG (Conf),W,70.0,68.0,0.564,19.0,29.0,0.739,0.43,5.0,20.0,0.765,bethune-cookman.csv
2025-03-01,2024-2025,Southern,REG (Conf),W,70.0,69.0,0.473,17.0,22.0,0.72,0.5,14.0,21.0,0.813,bethune-cookman.csv
2025-03-03,2024-2025,Grambling State,REG (Conf),W,78.0,71.0,0.585,13.0,24.0,0.719,0.483,11.0,16.0,0.6,bethune-cookman.csv
2025-03-08,2024-2025,Florida A&M,REG (Conf),W,76.0,75.0,0.5,8.0,23.0,0.63,0.516,8.0,26.0,0.8,bethune-cookman.csv
2025-03-13,2024-2025,Alcorn State,CTOURN,W,69.0,60.0,0.526,9.0,25.0,0.563,0.419,11.0,29.0,0.727,bethune-cookman.csv
2025-03-14,2024-2025,Jackson State,CTOURN,L,50.0,71.0,0.272,6.0,23.0,0.7,0.542,13.0,35.0,0.826,bethune-cookman.csv
2023-11-06,2023-2024,Chicago State,REG (Non-Conf),W,70.0,41.0,0.5,13.0,35.0,0.55,0.286,15.0,22.0,0.6,bowling-green-state.csv
2023-11-11,2023-2024,Arkansas State,REG (Non-Conf),W,81.0,75.0,0.55,6.0,27.0,0.75,0.546,10.0,25.0,0.444,bowling-green-state.csv
2023-11-14,2023-2024,Oakland,REG (Non-Conf),L,62.0,81.0,0.474,17.0,24.0,0.5,0.553,11.0,22.0,0.667,bowling-green-state.csv
2023-11-17,2023-2024,Bellarmine,REG (Non-Conf),L,67.0,85.0,0.451,8.0,14.0,0.5,0.698,11.0,26.0,0.783,bowling-green-state.csv
2023-11-24,2023-2024,Western Kentucky,REG (Non-Conf),L,65.0,72.0,0.44,20.0,30.0,0.636,0.377,11.0,27.0,0.69,bowling-green-state.csv
2023-11-25,2023-2024,Lipscomb,REG (Non-Conf),W,82.0,61.0,0.69,10.0,32.0,0.4,0.444,10.0,18.0,0.455,bowling-green-state.csv
2023-11-26,2023-2024,Canisius,REG (Non-Conf),W,77.0,73.0,0.56,6.0,24.0,0.632,0.545,6.0,22.0,0.333,bowling-green-state.csv
2023-12-02,2023-2024,Southern Indiana,REG (Non-Conf),W,54.0,52.0,0.325,12.0,24.0,0.684,0.361,17.0,32.0,0.65,bowling-green-state.csv
2023-12-10,2023-2024,Ohio Dominican,REG (Non-Conf),W,97.0,49.0,0.533,12.0,36.0,0.8,0.331,17.0,24.0,0.75,bowling-green-state.csv
2023-12-16,2023-2024,Kansas City,REG (Non-Conf),W,79.0,69.0,0.492,6.0,28.0,0.857,0.451,9.0,24.0,0.714,bowling-green-state.csv
2023-12-19,2023-2024,Hampton,REG (Non-Conf),W,75.0,65.0,0.482,12.0,30.0,0.769,0.435,9.0,21.0,0.625,bowling-green-state.csv
2023-12-22,2023-2024,Siena Heights,REG (Non-Conf),W,79.0,58.0,0.54,15.0,23.0,0.706,0.52,27.0,27.0,0.625,bowling-green-state.csv
2024-01-02,2023-2024,Eastern Michigan,REG (Conf),W,92.0,90.0,0.523,9.0,32.0,0.632,0.533,7.0,33.0,0.643,bowling-green-state.csv
2024-01-05,2023-2024,Akron,REG (Conf),L,67.0,83.0,0.491,10.0,17.0,0.542,0.589,9.0,23.0,0.68,bowling-green-state.csv
2024-01-09,2023-2024,Ohio,REG (Conf),W,83.0,78.0,0.587,10.0,21.0,0.692,0.579,10.0,20.0,0.667,bowling-green-state.csv
2024-01-13,2023-2024,Northern Illinois,REG (Conf),W,83.0,72.0,0.492,10.0,27.0,0.727,0.491,9.0,21.0,0.679,bowling-green-state.csv
2024-01-16,2023-2024,Miami (OH),REG (Conf),W,78.0,73.0,0.518,9.0,23.0,0.613,0.553,13.0,28.0,0.667,bowling-green-state.csv
